date,us_yield_10y,us_yield_10y_ma20,us_yield_10y_ma60,us_yield_10y_percentile_250d
2000-01-03,6.58,,,
2000-01-04,6.49,,,
2000-01-05,6.62,,,
2000-01-06,6.57,,,
2000-01-07,6.52,,,
2000-01-10,6.57,,,
2000-01-11,6.67,,,
2000-01-12,6.72,,,
2000-01-13,6.63,,,
2000-01-14,6.69,,,
2000-01-18,6.75,,,
2000-01-19,6.73,,,
2000-01-20,6.79,,,
2000-01-21,6.79,,,
2000-01-24,6.69,,,
2000-01-25,6.7,,,
2000-01-26,6.69,,,
2000-01-27,6.68,,,
2000-01-28,6.66,,,
2000-01-31,6.68,6.661,,
2000-02-01,6.62,6.662999999999999,,
2000-02-02,6.6,6.6685,,
2000-02-03,6.49,6.662000000000001,,
2000-02-04,6.53,6.659999999999999,,
2000-02-07,6.64,6.6659999999999995,,
2000-02-08,6.59,6.667,,
2000-02-09,6.56,6.661500000000001,,
2000-02-10,6.67,6.659000000000001,,
2000-02-11,6.63,6.659000000000001,,
2000-02-14,6.56,6.652500000000001,,
2000-02-15,6.56,6.642999999999999,,
2000-02-16,6.56,6.6345,,
2000-02-17,6.58,6.624,,
2000-02-18,6.49,6.609,,
2000-02-22,6.36,6.592499999999999,,
2000-02-23,6.44,6.5795,,
2000-02-24,6.36,6.563,,
2000-02-25,6.36,6.547,,
2000-02-28,6.37,6.532500000000001,,
2000-02-29,6.42,6.519500000000001,,
2000-03-01,6.39,6.508,,
2000-03-02,6.4,6.498,,
2000-03-03,6.39,6.492999999999999,,
2000-03-06,6.42,6.4875,,
2000-03-07,6.39,6.475,,
2000-03-08,6.38,6.464499999999999,,
2000-03-09,6.35,6.454000000000001,,
2000-03-10,6.39,6.44,,
2000-03-13,6.36,6.4265,,
2000-03-14,6.31,6.414,,
2000-03-15,6.29,6.400499999999999,,
2000-03-16,6.26,6.3854999999999995,,
2000-03-17,6.2,6.3665,,
2000-03-20,6.18,6.351,,
2000-03-21,6.13,6.3395,,
2000-03-22,6.13,6.324,,
2000-03-23,6.08,6.3100000000000005,,
2000-03-24,6.2,6.302,,
2000-03-27,6.21,6.294,,
2000-03-28,6.17,6.281499999999999,6.487333333333334,
2000-03-29,6.18,6.271,6.480666666666667,
2000-03-30,6.06,6.254,6.4735000000000005,
2000-03-31,6.03,6.236,6.463666666666667,
2000-04-03,6.0,6.215000000000001,6.454166666666667,
2000-04-04,5.9,6.1905,6.443833333333334,
2000-04-05,5.9,6.1665,6.432666666666666,
2000-04-06,5.93,6.1455,6.420333333333334,
2000-04-07,5.86,6.119,6.406000000000001,
2000-04-10,5.8,6.091,6.392166666666666,
2000-04-11,5.89,6.07,6.378833333333334,
2000-04-12,5.97,6.054,6.365833333333333,
2000-04-13,5.94,6.038,6.352666666666666,
2000-04-14,5.85,6.0205,6.337000000000001,
2000-04-17,6.01,6.0120000000000005,6.324,
2000-04-18,6.05,6.008,6.3133333333333335,
2000-04-19,5.99,6.0009999999999994,6.301500000000001,
2000-04-20,5.99,5.9965,6.289833333333333,
2000-04-24,6.0,5.9865,6.278499999999999,
2000-04-25,6.14,5.9830000000000005,6.269833333333334,
2000-04-26,6.14,5.9815000000000005,6.260833333333333,
2000-04-27,6.23,5.984,6.254333333333334,
2000-04-28,6.23,5.9925,6.248166666666666,
2000-05-01,6.29,6.0055,6.244833333333333,
2000-05-02,6.32,6.0215,6.241333333333333,
2000-05-03,6.4,6.0465,6.237333333333333,
2000-05-04,6.46,6.0745,6.235166666666667,
2000-05-05,6.51,6.1035,6.234333333333334,
2000-05-08,6.57,6.139,6.232666666666666,
2000-05-09,6.53,6.1754999999999995,6.231,
2000-05-10,6.47,6.2045,6.2295,
2000-05-11,6.43,6.2275,6.227333333333333,
