date,m2_value,m2_yoy,m1_value,m1_yoy,m2_m1_scissors,m1_m2_ratio,m2_net_expansion_trillion
2026-04-01,3530425.21,8.6,1145833.73,5.0,3.6,0.3246,279.5733
2026-03-01,3538636.53,8.5,1193202.99,5.1,3.4,0.3372,277.2204
2026-02-01,3492159.91,9.0,1159258.82,5.9,3.1,0.332,288.3435
2026-01-01,3471860.39,9.0,1179680.52,4.9,4.1,0.3398,286.6674
2025-12-01,3402948.06,8.5,1155146.5,3.8,4.7,0.3395,266.5904
2025-11-01,3369890.52,8.0,1128866.64,4.9,3.1,0.335,249.6215
2025-10-01,3351312.31,8.2,1119962.73,6.2,2.0,0.3342,253.9812
2025-09-01,3353771.03,8.4,1131455.07,7.2,1.2,0.3374,259.8863
2025-08-01,3319831.44,8.8,1112255.7,6.0,2.8,0.335,268.5158
2025-07-01,3299429.06,8.8,1110586.92,5.6,3.2,0.3366,266.8656
2025-06-01,3302868.17,8.3,1139494.08,4.6,3.7,0.345,253.1284
2025-05-01,3257838.11,7.9,1089147.65,2.3,5.6,0.3343,238.5257
2025-04-01,3251739.32,8.0,1091407.33,1.5,6.5,0.3356,240.8696
2025-03-01,3260554.57,7.0,1134863.1,1.6,5.4,0.3481,213.3073
2025-02-01,3205173.24,7.0,1094370.01,0.1,6.9,0.3414,209.6842
2025-01-01,3185247.18,7.0,1124457.45,0.4,6.6,0.353,208.3807
2024-12-01,3135322.3,7.3,1113069.0,-1.4,8.7,0.355,213.3071
2024-11-01,3119587.27,7.1,1076379.0,-3.7,10.8,0.345,206.8074
2024-10-01,3097092.01,7.5,1054884.0,-6.1,13.6,0.3406,216.0762
2024-09-01,3094798.24,6.8,1055410.0,-7.4,14.2,0.341,197.0471
2024-08-01,3050461.27,6.3,1049684.0,-7.3,13.6,0.3441,180.7893
2024-07-01,3033060.78,6.3,1051800.0,-6.6,12.9,0.3468,179.7581
2024-06-01,3050161.54,6.2,1089170.0,-5.0,11.2,0.3571,178.0697
2024-05-01,3018506.73,7.0,1064391.0,-4.2,11.2,0.3526,197.4724
2024-04-01,3011941.98,7.2,1075084.0,-1.4,8.6,0.3569,202.2946
2024-03-01,3047952.16,8.3,1117433.0,1.1,7.2,0.3666,233.5919
2024-02-01,2995572.97,8.7,1093158.0,1.2,7.5,0.3649,239.7561
2024-01-01,2976250.2,8.7,1120120.0,5.9,2.8,0.3764,238.2095
2023-12-01,2922713.33,9.7,680542.52,1.3,8.4,0.2328,258.435
2023-11-01,2912014.22,10.0,675903.41,1.3,8.7,0.2321,264.7286
2023-10-01,2882276.07,10.3,674696.07,1.9,8.4,0.2341,269.1518
2023-09-01,2896659.11,10.3,678443.65,2.1,8.2,0.2342,270.4949
2023-08-01,2869343.25,10.6,679588.35,2.2,8.4,0.2368,275.0003
2023-07-01,2854031.56,10.7,677218.92,2.3,8.4,0.2373,275.8639
2023-06-01,2873023.83,11.3,695595.48,3.1,8.2,0.2421,291.6906
2023-05-01,2820504.68,11.6,675252.98,4.7,6.9,0.2394,293.1707
2023-04-01,2808469.34,12.4,669761.55,5.3,7.1,0.2385,309.8311
2023-03-01,2814566.31,12.7,678059.63,5.1,7.6,0.2409,317.1694
2023-02-01,2755249.23,12.9,657938.74,5.8,7.1,0.2388,314.8159
2023-01-01,2738072.06,12.6,655214.16,6.7,5.9,0.2393,306.3917
2022-12-01,2664320.84,11.8,671674.76,3.7,8.1,0.2521,281.2074
2022-11-01,2647008.48,12.4,667042.61,4.6,7.8,0.252,292.0187
2022-10-01,2612914.57,11.8,662140.99,5.8,6.0,0.2534,275.7817
2022-09-01,2626600.92,12.1,664535.17,6.4,5.7,0.253,283.5136
2022-08-01,2595068.27,12.2,664604.85,6.1,6.1,0.2561,282.1732
2022-07-01,2578078.57,12.0,661832.33,6.7,5.3,0.2567,276.2227
2022-06-01,2581451.2,11.4,674374.81,5.8,5.6,0.2612,264.1701
2022-05-01,2527026.15,11.1,645107.52,4.6,6.5,0.2553,252.4752
2022-04-01,2499710.9,10.5,636139.01,5.1,5.4,0.2545,237.5291
2022-03-01,2497688.34,9.7,645063.8,4.7,5.0,0.2583,220.853
2022-02-01,2441488.9,9.2,621612.11,4.7,4.5,0.2546,205.6932
2022-01-01,2431022.72,9.8,613859.35,-1.9,11.7,0.2525,216.9765
2021-12-01,2382899.56,9.0,647443.35,3.5,5.5,0.2717,196.7532
2021-11-01,2356012.76,8.5,637482.04,3.0,5.5,0.2706,184.5724
2021-10-01,2336160.48,8.7,626082.12,2.8,5.9,0.268,186.9788
2021-09-01,2342829.7,8.3,624645.68,3.7,4.6,0.2666,179.552
2021-08-01,2312267.68,8.2,626658.69,4.2,4.0,0.271,175.2366
2021-07-01,2302153.82,8.3,620367.05,4.9,3.4,0.2695,176.4347
2021-06-01,2317788.36,8.6,637479.36,5.5,3.1,0.275,183.5449
2021-05-01,2275538.07,8.3,616828.32,6.1,2.2,0.2711,174.3949
2021-04-01,2262107.12,8.1,605421.89,6.2,1.9,0.2676,169.5011
2021-03-01,2276488.45,9.4,616113.17,7.1,2.3,0.2706,195.6032
2021-02-01,2236030.26,10.1,593487.46,7.4,2.7,0.2654,205.1218
