date,pmi,pmi_mom_change,pmi_expansion_flag
2010-01-01,56.6,,1
2010-02-01,55.8,-0.8,1
2010-03-01,52.0,-3.8,1
2010-04-01,55.1,3.1,1
2010-05-01,55.7,0.6,1
2010-06-01,53.9,-1.8,1
2010-07-01,52.1,-1.8,1
2010-08-01,51.2,-0.9,1
2010-09-01,51.7,0.5,1
2010-10-01,53.8,2.1,1
2010-11-01,54.7,0.9,1
2010-12-01,55.2,0.5,1
2011-01-01,53.9,-1.3,1
2011-02-01,52.9,-1.0,1
2011-03-01,52.2,-0.7,1
2011-04-01,53.4,1.2,1
2011-05-01,52.9,-0.5,1
2011-06-01,52.0,-0.9,1
2011-07-01,50.9,-1.1,1
2011-08-01,50.7,-0.2,1
2011-09-01,50.9,0.2,1
2011-10-01,51.2,0.3,1
2011-11-01,50.4,-0.8,1
2011-12-01,49.0,-1.4,0
2012-01-01,50.3,1.3,1
2012-02-01,50.5,0.2,1
2012-03-01,51.0,0.5,1
2012-04-01,53.1,2.1,1
2012-05-01,53.3,0.2,1
2012-06-01,50.4,-2.9,1
2012-07-01,50.2,-0.2,1
2012-08-01,50.1,-0.1,1
2012-09-01,49.2,-0.9,0
2012-10-01,49.8,0.6,0
2012-11-01,50.2,0.4,1
2012-12-01,50.6,0.4,1
2013-01-01,50.6,0.0,1
2013-02-01,50.4,-0.2,1
2013-03-01,50.1,-0.3,1
2013-04-01,50.9,0.8,1
2013-05-01,50.6,-0.3,1
2013-06-01,50.8,0.2,1
2013-07-01,50.1,-0.7,1
2013-08-01,50.3,0.2,1
2013-09-01,51.0,0.7,1
2013-10-01,51.1,0.1,1
2013-11-01,51.4,0.3,1
2013-12-01,51.4,0.0,1
2014-01-01,51.0,-0.4,1
2014-02-01,50.5,-0.5,1
2014-03-01,50.2,-0.3,1
2014-04-01,50.3,0.1,1
2014-05-01,50.4,0.1,1
2014-06-01,50.8,0.4,1
2014-07-01,51.0,0.2,1
2014-08-01,51.7,0.7,1
2014-09-01,51.1,-0.6,1
2014-10-01,51.1,0.0,1
2014-11-01,50.8,-0.3,1
2014-12-01,50.3,-0.5,1
2015-01-01,50.1,-0.2,1
2015-02-01,49.8,-0.3,0
2015-03-01,49.9,0.1,0
2015-04-01,50.1,0.2,1
2015-05-01,50.1,0.0,1
2015-06-01,50.2,0.1,1
2015-07-01,50.2,0.0,1
2015-08-01,50.0,-0.2,0
2015-09-01,49.7,-0.3,0
2015-10-01,49.8,0.1,0
2015-11-01,49.8,0.0,0
2015-12-01,49.6,-0.2,0
2016-01-01,49.7,0.1,0
2016-02-01,49.4,-0.3,0
2016-03-01,49.0,-0.4,0
2016-04-01,50.2,1.2,1
2016-05-01,50.1,-0.1,1
2016-06-01,50.1,0.0,1
2016-07-01,50.0,-0.1,0
2016-08-01,49.9,-0.1,0
